x,y,source_file,x_snap,y_snap,cluster
85.447955604812,19.557682347921528,Default Dataset (9).csv,85.5,19.5,1
87.80221009893924,19.51053392834621,Default Dataset (9).csv,88.0,19.5,4
90.4730057184566,19.878329169495483,Default Dataset (9).csv,90.5,20.0,0
91.5427408339662,20.609196759451823,Default Dataset (9).csv,91.5,20.5,0
90.84139132114863,21.65319747861952,Default Dataset (9).csv,91.0,21.5,0
88.82605802180582,21.33587814937757,Default Dataset (9).csv,89.0,21.5,7
86.98147338140308,21.3670063034512,Default Dataset (9).csv,87.0,21.5,7
85.2738660362321,17.83278009300878,Default Dataset (9).csv,85.5,18.0,1
82.79627964889589,17.067188510490993,Default Dataset (9).csv,83.0,17.0,1
92.60563312250272,18.5208196364983,Default Dataset (9).csv,92.5,18.5,6
93.37967760892842,17.4271480438907,Default Dataset (9).csv,93.5,17.5,6
87.77265238879737,17.427860696517413,Default Dataset (10).csv,88.0,17.5,4
91.55354200988468,18.92039800995025,Default Dataset (10).csv,91.5,19.0,0
89.0329489291598,18.82089552238806,Default Dataset (10).csv,89.0,19.0,4
89.08237232289952,20.41293532338309,Default Dataset (10).csv,89.0,20.5,7
85.17792421746294,18.986733001658376,Default Dataset (10).csv,85.0,19.0,1
83.22570016474465,17.610281923714762,Default Dataset (10).csv,83.0,17.5,1
86.51235584843494,20.67827529021559,Default Dataset (10).csv,86.5,20.5,7
87.77265238879737,21.60696517412936,Default Dataset (10).csv,88.0,21.5,7
90.68863261943989,21.5240464344942,Default Dataset (10).csv,90.5,21.5,0
92.4678747940692,18.257048092868988,Default Dataset (10).csv,92.5,18.5,6
93.06095551894563,17.958540630182423,Default Dataset (10).csv,93.0,18.0,6
85.82266009852218,17.69576191833245,Default Dataset (11).csv,86.0,17.5,1
82.91625615763547,17.173241596439087,Default Dataset (11).csv,83.0,17.0,1
86.11822660098522,18.85213532548956,Default Dataset (11).csv,86.0,19.0,1
84.61576354679804,18.9876779437908,Default Dataset (11).csv,84.5,19.0,1
90.256157635468,19.66946219924276,Default Dataset (11).csv,90.5,19.5,0
89.27093596059115,18.365848362713567,Default Dataset (11).csv,89.5,18.5,4
88.43349753694582,17.24372701488689,Default Dataset (11).csv,88.5,17.0,4
91.70935960591132,17.401796740354733,Default Dataset (11).csv,91.5,17.5,6
92.10344827586208,19.235638969181288,Default Dataset (11).csv,92.0,19.0,0
93.50738916256158,17.480478768880022,Default Dataset (11).csv,93.5,17.5,6
90.65024630541872,21.12313913881312,Default Dataset (11).csv,90.5,21.0,0
87.42364532019705,20.65091126219653,Default Dataset (11).csv,87.5,20.5,7
86.51231527093597,20.735564331175617,Default Dataset (11).csv,86.5,20.5,7
88.58128078817734,21.7062112391266,Default Dataset (11).csv,88.5,21.5,7
